Oxygen supply type,Manufacturer,Model,lpm,cbh,Height (meters),Width (meters),Link,
,I don't know,,,,,,,
VSA Plant,EcoGen,E120,3200,192.0,90,,,https://www.adsorptech.com/ecogens2.html,
VSA Plant,EcoGen,E160,4233,254.0,90,,,https://www.adsorptech.com/ecogens2.html,
VSA Plant,EcoGen,E210,5917,355.0,90,,,https://www.adsorptech.com/ecogens2.html,
VSA Plant,EcoGenX,X700,17667,1060.0,90,,,https://www.adsorptech.com/ecogenx.html,
VSA Plant,EcoGenX,X900,23500,1410.0,90,,,https://www.adsorptech.com/ecogenx.html,
VSA Plant,EcoGenX,X1100,29333,1760.0,90,,,https://www.adsorptech.com/ecogenx.html,
VSA Plant,EcoGenX,X1300,35333,2120.0,90,,,https://www.adsorptech.com/ecogenx.html,
VSA Plant,Linde,CS300,6083,365.0,93,,,https://www.leamericas.com/en/process_plants_old/adsorption-and-membrane-plants/oxygen_generation/index.html,
VSA Plant,Linde,CS400,7833,470.0,93,,,https://www.leamericas.com/en/process_plants_old/adsorption-and-membrane-plants/oxygen_generation/index.html,
VSA Plant,Linde,CS500,10333,620.0,93,,,https://www.leamericas.com/en/process_plants_old/adsorption-and-membrane-plants/oxygen_generation/index.html,
VSA Plant,Linde,CS700,14333,860.0,93,,,https://www.leamericas.com/en/process_plants_old/adsorption-and-membrane-plants/oxygen_generation/index.html,
VSA Plant,Linde,C900,15833,950.0,93,,,https://www.leamericas.com/en/process_plants_old/adsorption-and-membrane-plants/oxygen_generation/index.html,
VSA Plant,Linde,C1200,21500,1290.0,93,,,https://www.leamericas.com/en/process_plants_old/adsorption-and-membrane-plants/oxygen_generation/index.html,
VSA Plant,Linde,C1500,28500,1710.0,93,,,https://www.leamericas.com/en/process_plants_old/adsorption-and-membrane-plants/oxygen_generation/index.html,
VSA Plant,Linde,C1800,31333,1880.0,93,,,https://www.leamericas.com/en/process_plants_old/adsorption-and-membrane-plants/oxygen_generation/index.html,
VSA Plant,Linde,C2300,36000,2160.0,93,,,https://www.leamericas.com/en/process_plants_old/adsorption-and-membrane-plants/oxygen_generation/index.html,
VSA Plant,PCI,DOCS 80,80,4.8,93,,,https://www.pcigases.com/oxygen-solutions/products/on-site-oxygen-generators/gaseous-oxygen/docs-80/,
VSA Plant,PCI,DOCS 200,200,12.0,93,,,https://www.pcigases.com/oxygen-solutions/products/on-site-oxygen-generators/gaseous-oxygen/,
VSA Plant,PCI,DOCS 500,500,30.0,93,,,https://www.pcigases.com/oxygen-solutions/products/on-site-oxygen-generators/gaseous-oxygen/,
VSA Plant,PCI,DOCS 1500,1500,90.0,93,,,https://www.pcigases.com/oxygen-solutions/products/on-site-oxygen-generators/gaseous-oxygen/,
VSA Plant,PCI,EDOCS 120B,120,7.2,93,,,https://www.pcigases.com/aerospace-and-defense/products/on-site-oxygen-generators/gaseous-oxygen/edocs-120b/,
VSA Plant,Praxair,V30C,16990,1019.4,90,,,https://www.praxairusa.com/industries/vpsa-oxygen,
VSA Plant,Praxair,V40 S-XL,29260,1755.6,90,,,https://www.praxairusa.com/industries/vpsa-oxygen,
VSA Plant,Praxair,VM62 S-XL,44835,2690.1,90,,,https://www.praxairusa.com/industries/vpsa-oxygen,
VSA Plant,Praxair,VM80 XL,63713,3822.8,90,,,https://www.praxairusa.com/industries/vpsa-oxygen,
VSA Plant,Praxair,VM120 S-L,89670,5380.2,90,,,https://www.praxairusa.com/industries/vpsa-oxygen,
VSA Plant,Praxair,V120 XL-XXL,102885,6173.1,90,,,https://www.praxairusa.com/industries/vpsa-oxygen,
Liquid Oxygen,Airgas,OX USP160LT230,160,137760.0,,,,https://www.airgas.com/product/Gases/Oxygen/p/OX%20USP160LT230,
Liquid Oxygen,Airgas,OX USP180LT230,180,154980.0,,,,https://www.airgas.com/p/OX%20USP180LT230,
Liquid Oxygen,Airgas,OX USP240LT230,240,206640.0,,,,https://www.airgas.com/product/Gases/Oxygen/p/OX%20USP240LT230,
Liquid Oxygen,CAIRE,Liberator 20,21,18081.0,,,,https://www.caireinc.com/product/caire-liberator/,
Liquid Oxygen,CAIRE,Liberator 30,31,26691.0,,,,https://www.caireinc.com/product/caire-liberator/,
Liquid Oxygen,CAIRE,Liberator 37,37,32115.3,,,,https://www.caireinc.com/product/caire-liberator/,
Liquid Oxygen,CAIRE,Liberator 45,46,39347.7,,,,https://www.caireinc.com/product/caire-liberator/,
Liquid Oxygen,CAIRE,Liberator 60,60,51832.2,,,,https://www.caireinc.com/product/caire-liberator/,
Liquid Oxygen,Chart Industries,VHR-120,424,365064.0,,,,http://files.chartindustries.com/11545591_VHR.pdf,
Liquid Oxygen,Chart Industries,VHR-260,964,830004.0,,,,http://files.chartindustries.com/11545591_VHR.pdf,
Liquid Oxygen,Chart Industries,VHR-400,1479,1273419.0,,,,http://files.chartindustries.com/11545591_VHR.pdf,
Liquid Oxygen,Linde 30,30,3000,2583000.0,,,,https://www.linde-engineering.com/en/images/P_3_3_e_12_150dpi_tcm19-5774.pdf,
Liquid Oxygen,Linde 60,60,6050,5209050.0,,,,https://www.linde-engineering.com/en/images/P_3_3_e_12_150dpi_tcm19-5774.pdf,
Liquid Oxygen,Linde 110,110,10960,9436560.0,,,,https://www.linde-engineering.com/en/images/P_3_3_e_12_150dpi_tcm19-5774.pdf,
Liquid Oxygen,Linde 200,200,19340,16651740.0,,,,https://www.linde-engineering.com/en/images/P_3_3_e_12_150dpi_tcm19-5774.pdf,
Liquid Oxygen,Linde 300,300,28700,24710700.0,,,,https://www.linde-engineering.com/en/images/P_3_3_e_12_150dpi_tcm19-5774.pdf,
Liquid Oxygen,Linde 490,490,46570,40096770.0,,,,https://www.linde-engineering.com/en/images/P_3_3_e_12_150dpi_tcm19-5774.pdf,
Liquid Oxygen,Linde 610,610,58540,50402940.0,,,,https://www.linde-engineering.com/en/images/P_3_3_e_12_150dpi_tcm19-5774.pdf,
Liquid Oxygen,Pneumatech,"2,0",1995,1717695.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,"2,6",2470,2126670.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
